Insertion Threads, Removal Threads, Replacement Threads,,,,
,,,,,,
171,167,162,,,,
Time,Operation,Status,Item1,Item2,Result,List
22470444, add, started,19, , , [ ] 
22500281, remove, started,19, , , [ ] 
23003135, add, started,182, , , [ ] 
23156032, add, finished,19, , true, [ 19 ] 
23175069, remove, finished,19, , true, [ ] 
23241211, add, finished,182, , true, [ 182 ] 
23740069, add, started,51, , , [ 182 ] 
23752754, remove, started,51, , , [ 182 ] 
23795318, remove, started,51, , , [ 182 ] 
23870356, add, started,74, , , [ 182 ] 
23941401, replace, started,74,740, , [ 182 ] 
23963623, replace, started,74,740, , [ 182 ] 
24095660, add, finished,51, , true, [ 51 182 ] 
24131305, remove, started,74, , , [ 51 182 ] 
24136528, remove, started,74, , , [ 51 182 ] 
24165785, add, started,54, , , [ 51 182 ] 
24191110, remove, finished,51, , true, [ 182 ] 
24252194, remove, started,54, , , [ 182 ] 
24273012, replace, started,54,540, , [ 182 ] 
24277152, add, started,474, , , [ 182 ] 
24295812, remove, finished,51, , false, [ 182 ] 
24367902, add, started,332, , , [ 182 ] 
24391913, add, finished,74, , true, [ 74 182 ] 
24600109, add, started,250, , , [ 74 182 ] 
24630415, replace, finished,74,740, true, [ 182 740 ] 
24651770, add, finished,332, , true, [ 182 332 740 ] 
24709206, remove, finished,74, , false, [ 182 332 740 ] 
24853971, replace, started,250,2500, , [ 182 332 740 ] 
24973503, add, started,283, , , [ 182 332 740 ] 
25037301, remove, started,283, , , [ 182 332 740 ] 
25040138, remove, started,283, , , [ 182 332 474 740 ] 
25049381, add, finished,474, , true, [ 182 332 474 740 ] 
25114960, add, started,169, , , [ 182 332 474 740 ] 
25132495, replace, started,169,1690, , [ 182 332 474 740 ] 
25166442, remove, finished,54, , false, [ 182 332 474 740 ] 
25191589, add, started,430, , , [ 182 332 474 740 ] 
25191798, add, started,180, , , [ 182 332 474 740 ] 
25248022, replace, finished,54,540, true, [ 182 332 474 540 740 ] 
25310994, replace, finished,74,740, false, [ 182 332 474 540 740 ] 
25388895, add, finished,54, , true, [ 54 182 332 474 540 740 ] 
25528706, add, started,377, , , [ 54 182 332 474 540 740 ] 
25547381, remove, started,377, , , [ 54 182 332 474 540 740 ] 
25557452, remove, finished,74, , false, [ 54 182 332 474 540 740 ] 
25740398, remove, finished,283, , false, [ 54 182 332 474 540 740 ] 
25759264, replace, started,377,3770, , [ 54 182 332 474 540 740 ] 
25770703, replace, started,377,3770, , [ 54 182 332 474 540 740 ] 
25786927, remove, started,377, , , [ 54 182 332 474 540 740 ] 
25791963, remove, started,377, , , [ 54 182 332 474 540 740 ] 
25956759, add, finished,180, , true, [ 54 180 182 332 474 540 740 ] 
26068357, remove, started,377, , , [ 54 180 182 332 430 474 540 740 ] 
26073769, add, finished,430, , true, [ 54 180 182 332 430 474 540 740 ] 
26077008, replace, started,377,3770, , [ 54 180 182 332 430 474 540 740 ] 
26088921, replace, started,377,3770, , [ 54 180 182 332 430 474 540 740 ] 
26140012, add, finished,283, , true, [ 54 180 182 283 332 430 474 540 740 ] 
26279803, remove, finished,283, , false, [ 54 180 182 283 332 430 474 540 740 ] 
26426885, replace, finished,169,1690, true, [ 54 180 182 283 332 430 474 540 740 1690 ] 
26434848, add, started,242, , , [ 54 180 182 283 332 430 474 540 740 1690 ] 
26482134, add, finished,169, , true, [ 54 169 180 182 283 332 430 474 540 740 1690 ] 
26495443, add, started,101, , , [ 54 169 180 182 283 332 430 474 540 740 1690 ] 
26519967, replace, started,101,1010, , [ 54 169 180 182 283 332 430 474 540 740 1690 ] 
26552213, add, started,524, , , [ 54 169 180 182 283 332 430 474 540 740 1690 2500 ] 
26592634, replace, finished,250,2500, true, [ 54 169 180 182 283 332 430 474 540 740 1690 2500 ] 
26617201, remove, started,524, , , [ 54 169 180 182 283 332 430 474 540 740 1690 2500 ] 
26649464, replace, started,524,5240, , [ 54 169 180 182 283 332 430 474 540 740 1690 2500 ] 
26659818, remove, started,524, , , [ 54 169 180 182 283 332 430 474 540 740 1690 2500 ] 
26681215, remove, started,524, , , [ 54 169 180 182 283 332 430 474 540 740 1690 2500 ] 
26818059, add, started,174, , , [ 54 169 180 182 283 332 430 474 540 740 1690 2500 ] 
26954509, add, finished,250, , true, [ 54 169 180 182 250 283 332 430 474 540 740 1690 2500 ] 
27016862, add, finished,174, , true, [ 54 169 174 180 182 250 283 332 430 474 540 740 1690 2500 ] 
27110077, add, finished,101, , true, [ 54 101 169 174 180 182 250 283 332 430 474 540 740 1690 2500 ] 
27210617, add, started,464, , , [ 54 101 169 174 180 182 250 283 332 430 474 540 740 1690 2500 5240 ] 
27224615, replace, finished,524,5240, true, [ 54 101 169 174 180 182 250 283 332 430 474 540 740 1690 2500 5240 ] 
27260599, remove, finished,524, , false, [ 54 101 169 174 180 182 250 283 332 430 474 540 740 1690 2500 5240 ] 
27324095, replace, finished,101,1010, true, [ 54 169 174 180 182 250 283 332 430 474 540 740 1010 1690 2500 5240 ] 
27380127, add, finished,464, , true, [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
27527881, remove, finished,524, , false, [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
27589032, remove, finished,524, , false, [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35300263, add, started,308, , , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35331211, add, started,577, , , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35464646, remove, started,308, , , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35522966, replace, started,308,3080, , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35696160, add, started,241, , , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35965869, add, started,439, , , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35986284, remove, started,439, , , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35993664, remove, started,439, , , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
35998952, remove, started,439, , , [ 54 169 174 180 182 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36003980, add, started,396, , , [ 54 169 174 180 182 250 283 332 430 464 474 540 740 1010 1690 2500 5240 ] 
36039561, add, finished,524, , true, [ 54 169 174 180 182 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36102025, add, finished,242, , true, [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36297525, remove, started,396, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36347554, replace, started,396,3960, , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36475801, add, started,434, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36487466, replace, started,434,4340, , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36492141, replace, started,434,4340, , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36590486, remove, started,434, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 5240 ] 
36676151, remove, started,434, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36693630, remove, started,434, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36706790, remove, started,434, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36729742, replace, finished,377,3770, true, [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36822730, remove, finished,377, , false, [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36840666, replace, started,434,4340, , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36931691, add, started,695, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36954956, add, started,346, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36961902, remove, finished,434, , false, [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
36985010, replace, started,346,3460, , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
37009526, remove, started,346, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
37012036, remove, started,346, , , [ 54 169 174 180 182 242 250 283 332 430 464 474 524 540 740 1010 1690 2500 3770 5240 ] 
